# Energy [GeV], percent uncertainty 
1.0619894171719422, 41.2280701754386
5.350769438080136, 41.66666666666667
9.858959018640881, 36.40350877192983
15.803888440621556, 33.00438596491229
28.271943345926214, 31.140350877192986
39.40188391379147, 30.81140350877194
49.86991345601459, 29.71491228070176
74.53033314560506, 28.0701754385965
108.3610765589939, 26.2061403508772
144.99075614554258, 24.561403508771935
225.98625847025122, 21.929824561403514
410.2473653091821, 18.530701754385966
604.9156257598629, 16.228070175438603
879.6050483932925, 14.144736842105267
1531.0094879074077, 11.842105263157904
2816.3185326897556, 9.539473684210535
4636.887568010794, 7.785087719298254
7422.5622805344265, 6.90789473684211
13835.595723822917, 5.701754385964918
24740.31666649055, 4.60526315789474
40125.4577073831, 5.043859649122815
63364.96173948325, 3.728070175438603
114842.33476038037, 3.2894736842105345
208114.42705159742, 3.0701754385965003
347184.85465853766, 2.5219298245614112
497064.7754151813, 3.508771929824576
773892.699733001, 2.850877192982459
1048762.690660122, 3.179824561403514
1402684.2383438796, 2.302631578947377
1849614.3631107972, 2.0833333333333357
2307609.98031, 1.9736842105263221
3041949.6873876387, 2.302631578947377
4238459.4119140925, 2.4122807017543977
5666045.657920595, 2.4122807017543977
7069053.836238226, 2.302631578947377
9194020.373011243, 1.9736842105263221

